runde_nr,parti_valgt_2013,omtaler_parti,kategori,andel,konfidensintervall_fra,konfidensintervall_til,N
1,AP,AP,Misliker,0.0111972,0.0065073,0.0192019,1161
1,AP,AP,Nøytral,0.0198105,0.0131911,0.0296517,1161
1,AP,AP,Liker,0.9689922,0.9572904,0.9775631,1161
2,AP,AP,Misliker,0.0128355,0.0071137,0.0230526,857
2,AP,AP,Nøytral,0.0256709,0.016947,0.0387089,857
2,AP,AP,Liker,0.9614936,0.9462934,0.9725167,857
3,AP,AP,Misliker,0.0117592,0.0079553,0.0173501,2126
3,AP,AP,Nøytral,0.0244591,0.0186809,0.0319663,2126
3,AP,AP,Liker,0.9637817,0.9549378,0.9709428,2126
4,AP,AP,Misliker,0.0104487,0.0065019,0.0167509,1627
4,AP,AP,Nøytral,0.0190535,0.0134257,0.0269757,1627
4,AP,AP,Liker,0.9704978,0.9610549,0.9777043,1627
5,AP,AP,Misliker,0.0183357,0.0125077,0.0268055,1418
5,AP,AP,Nøytral,0.0239774,0.0171743,0.0333839,1418
5,AP,AP,Liker,0.9576869,0.9458616,0.9670193,1418
6,AP,AP,Misliker,0.0426388,0.0327059,0.0554155,1243
6,AP,AP,Nøytral,0.0434433,0.0334085,0.0563166,1243
6,AP,AP,Liker,0.9139179,0.8969668,0.9283032,1243
7,AP,AP,Misliker,0.0332502,0.0244706,0.0450344,1203
7,AP,AP,Nøytral,0.0448878,0.0345241,0.0581751,1203
7,AP,AP,Liker,0.921862,0.9052587,0.9357621,1203
9,AP,AP,Misliker,0.0437616,0.0330197,0.0577894,1074
9,AP,AP,Nøytral,0.0465549,0.0354421,0.060932,1074
9,AP,AP,Liker,0.9096834,0.8909803,0.9254464,1074
1,AP,Høyre,Misliker,0.4233766,0.3951247,0.4521386,1155
1,AP,Høyre,Nøytral,0.1748918,0.1540233,0.1979262,1155
1,AP,Høyre,Liker,0.4017316,0.3737726,0.4303448,1155
2,AP,Høyre,Misliker,0.5181712,0.4845405,0.551638,853
2,AP,Høyre,Nøytral,0.1313013,0.1102094,0.1557233,853
2,AP,Høyre,Liker,0.3505275,0.3191564,0.3832465,853
3,AP,Høyre,Misliker,0.565135,0.5438643,0.5861686,2111
3,AP,Høyre,Nøytral,0.144955,0.130562,0.1606414,2111
3,AP,Høyre,Liker,0.28991,0.2709286,0.3096564,2111
4,AP,Høyre,Misliker,0.5871842,0.5630176,0.610938,1623
4,AP,Høyre,Nøytral,0.1497227,0.1331633,0.1679424,1623
4,AP,Høyre,Liker,0.263093,0.2422172,0.2850912,1623
5,AP,Høyre,Misliker,0.4762916,0.450307,0.5024051,1413
5,AP,Høyre,Nøytral,0.1755131,0.1565296,0.1962632,1413
5,AP,Høyre,Liker,0.3481953,0.3237565,0.3734602,1413
6,AP,Høyre,Misliker,0.5044391,0.4765759,0.5322747,1239
6,AP,Høyre,Nøytral,0.1662631,0.1465266,0.1880723,1239
6,AP,Høyre,Liker,0.3292978,0.3036432,0.3560118,1239
7,AP,Høyre,Misliker,0.540201,0.5117922,0.5683509,1194
7,AP,Høyre,Nøytral,0.1616415,0.1418062,0.1836576,1194
7,AP,Høyre,Liker,0.2981575,0.2728402,0.3247747,1194
9,AP,Høyre,Misliker,0.572093,0.542245,0.6014253,1075
9,AP,Høyre,Nøytral,0.1497674,0.1296324,0.1724105,1075
9,AP,Høyre,Liker,0.2781395,0.2521212,0.3057452,1075
1,AP,FRP,Misliker,0.8470895,0.8250863,0.8667717,1151
1,AP,FRP,Nøytral,0.0642919,0.0514776,0.080027,1151
1,AP,FRP,Liker,0.0886186,0.0734949,0.1064967,1151
2,AP,FRP,Misliker,0.8868145,0.8637583,0.9063917,857
2,AP,FRP,Nøytral,0.0466744,0.0343969,0.0630482,857
2,AP,FRP,Liker,0.0665111,0.0516227,0.0853072,857
3,AP,FRP,Misliker,0.8620038,0.846628,0.8760638,2116
3,AP,FRP,Nøytral,0.0675803,0.0576308,0.0791034,2116
3,AP,FRP,Liker,0.0704159,0.0602569,0.082138,2116
4,AP,FRP,Misliker,0.9108241,0.8959498,0.923753,1626
4,AP,FRP,Nøytral,0.0424354,0.0336411,0.0534017,1626
4,AP,FRP,Liker,0.0467405,0.0374785,0.058153,1626
5,AP,FRP,Misliker,0.8559322,0.8366353,0.8732949,1416
5,AP,FRP,Nøytral,0.0586158,0.0475007,0.0721349,1416
5,AP,FRP,Liker,0.085452,0.0719564,0.1012026,1416
6,AP,FRP,Misliker,0.845535,0.8243299,0.8646008,1243
6,AP,FRP,Nøytral,0.0627514,0.0505311,0.0776853,1243
6,AP,FRP,Liker,0.0917136,0.076862,0.1090957,1243
7,AP,FRP,Misliker,0.8510815,0.8297827,0.8701324,1202
7,AP,FRP,Nøytral,0.0599002,0.0477943,0.0748314,1202
7,AP,FRP,Liker,0.0890183,0.0741596,0.1065116,1202
9,AP,FRP,Misliker,0.8748842,0.8537373,0.8933555,1079
9,AP,FRP,Nøytral,0.0518999,0.0401346,0.0668739,1079
9,AP,FRP,Liker,0.0732159,0.0590932,0.0903897,1079
1,AP,Venstre,Misliker,0.3022648,0.2763408,0.3295134,1148
1,AP,Venstre,Nøytral,0.325784,0.2992382,0.3534967,1148
1,AP,Venstre,Liker,0.3719512,0.3444065,0.4003536,1148
2,AP,Venstre,Misliker,0.3458382,0.3145879,0.3784787,853
2,AP,Venstre,Nøytral,0.3024619,0.2724957,0.3342096,853
2,AP,Venstre,Liker,0.3516999,0.320299,0.384438,853
3,AP,Venstre,Misliker,0.2940334,0.2748929,0.3139297,2095
3,AP,Venstre,Nøytral,0.3360382,0.3161053,0.3565727,2095
3,AP,Venstre,Liker,0.3699284,0.3494876,0.3908464,2095
4,AP,Venstre,Misliker,0.3957947,0.3721991,0.4198857,1617
4,AP,Venstre,Nøytral,0.3283859,0.305893,0.3516947,1617
4,AP,Venstre,Liker,0.2758194,0.2545544,0.2981504,1617
5,AP,Venstre,Misliker,0.355776,0.3311773,0.3811606,1411
5,AP,Venstre,Nøytral,0.3104181,0.2867792,0.3350901,1411
5,AP,Venstre,Liker,0.3338058,0.3096401,0.3588771,1411
6,AP,Venstre,Misliker,0.4504432,0.4229051,0.4782883,1241
6,AP,Venstre,Nøytral,0.2659146,0.2420357,0.291244,1241
6,AP,Venstre,Liker,0.2836422,0.2592128,0.3094123,1241
7,AP,Venstre,Misliker,0.4674457,0.4392867,0.4958138,1198
7,AP,Venstre,Nøytral,0.263773,0.2395529,0.2895095,1198
7,AP,Venstre,Liker,0.2687813,0.2443959,0.2946511,1198
9,AP,Venstre,Misliker,0.5460465,0.5161072,0.5756565,1075
9,AP,Venstre,Nøytral,0.2223256,0.1984264,0.2482119,1075
9,AP,Venstre,Liker,0.2316279,0.2073349,0.2578414,1075
1,AP,SP,Misliker,0.3035871,0.2775706,0.330925,1143
1,AP,SP,Nøytral,0.3674541,0.3399353,0.3958645,1143
1,AP,SP,Liker,0.3289589,0.3022782,0.3567903,1143
2,AP,SP,Misliker,0.4096244,0.3769917,0.4430729,852
2,AP,SP,Nøytral,0.3239437,0.2932857,0.3561911,852
2,AP,SP,Liker,0.2664319,0.2377613,0.2972117,852
3,AP,SP,Misliker,0.2927992,0.2736938,0.3126642,2097
3,AP,SP,Nøytral,0.3848355,0.364216,0.4058771,2097
3,AP,SP,Liker,0.3223653,0.302679,0.3427027,2097
4,AP,SP,Misliker,0.2944099,0.2726245,0.3171772,1610
4,AP,SP,Nøytral,0.4012422,0.3775279,0.4254281,1610
4,AP,SP,Liker,0.3043478,0.2823266,0.3273033,1610
5,AP,SP,Misliker,0.2460993,0.2242878,0.2692955,1410
5,AP,SP,Nøytral,0.364539,0.339775,0.3900416,1410
5,AP,SP,Liker,0.3893617,0.3642021,0.4151246,1410
6,AP,SP,Misliker,0.3091203,0.2839624,0.3354628,1239
6,AP,SP,Nøytral,0.37046,0.3439584,0.3977655,1239
6,AP,SP,Liker,0.3204197,0.2949768,0.3469771,1239
7,AP,SP,Misliker,0.3071786,0.2816552,0.3339398,1198
7,AP,SP,Nøytral,0.3480801,0.3215775,0.3755579,1198
7,AP,SP,Liker,0.3447412,0.3183101,0.3721689,1198
9,AP,SP,Misliker,0.2572227,0.2319095,0.2842763,1073
9,AP,SP,Nøytral,0.2562908,0.2310118,0.2833168,1073
9,AP,SP,Liker,0.4864865,0.4566168,0.516453,1073
1,AP,SV,Misliker,0.261324,0.2366821,0.287565,1148
1,AP,SV,Nøytral,0.2465157,0.2224055,0.2723242,1148
1,AP,SV,Liker,0.4921603,0.463256,0.5211171,1148
2,AP,SV,Misliker,0.3060748,0.2760411,0.3378512,856
2,AP,SV,Nøytral,0.2301402,0.2031067,0.2595997,856
2,AP,SV,Liker,0.463785,0.4305234,0.4973721,856
3,AP,SV,Misliker,0.2716873,0.2530612,0.29115,2098
3,AP,SV,Nøytral,0.2607245,0.242366,0.2799598,2098
3,AP,SV,Liker,0.4675882,0.4462929,0.4890022,2098
4,AP,SV,Misliker,0.304321,0.2823671,0.3272035,1620
4,AP,SV,Nøytral,0.2580247,0.2372763,0.2799216,1620
4,AP,SV,Liker,0.4376543,0.4136374,0.4619671,1620
5,AP,SV,Misliker,0.304321,0.2823671,0.3272035,1415
5,AP,SV,Nøytral,0.2580247,0.2372763,0.2799216,1415
5,AP,SV,Liker,0.4376543,0.4136374,0.4619671,1415
6,AP,SV,Misliker,0.2636042,0.2412713,0.2872218,1240
6,AP,SV,Nøytral,0.2586572,0.2364774,0.2821486,1240
6,AP,SV,Liker,0.4777385,0.4517649,0.5038331,1240
7,AP,SV,Misliker,0.3564516,0.3302245,0.3835689,1197
7,AP,SV,Nøytral,0.233871,0.2111089,0.2582838,1197
7,AP,SV,Liker,0.4096774,0.3825743,0.4373406,1197
9,AP,SV,Misliker,0.3665116,0.338168,0.3958101,1075
9,AP,SV,Nøytral,0.2102326,0.1868723,0.2356667,1075
9,AP,SV,Liker,0.4232558,0.3939818,0.4530788,1075
1,AP,MDG,Misliker,0.2532982,0.2288259,0.2794393,1137
1,AP,MDG,Nøytral,0.3922603,0.3642307,0.4210186,1137
1,AP,MDG,Liker,0.3544415,0.3271134,0.3827541,1137
2,AP,MDG,Misliker,0.2517564,0.2237223,0.2820272,854
2,AP,MDG,Nøytral,0.3571429,0.3256251,0.3899473,854
2,AP,MDG,Liker,0.3911007,0.3588405,0.4243417,854
3,AP,MDG,Misliker,0.217619,0.2004742,0.2357977,2100
3,AP,MDG,Nøytral,0.3742857,0.3538119,0.3952197,2100
3,AP,MDG,Liker,0.4080952,0.3872376,0.4292892,2100
4,AP,MDG,Misliker,0.2033582,0.1843724,0.2237627,1608
4,AP,MDG,Nøytral,0.3911692,0.3675684,0.4152902,1608
4,AP,MDG,Liker,0.4054726,0.3816929,0.4297042,1608
5,AP,MDG,Misliker,0.3762376,0.3513133,0.4018349,1414
5,AP,MDG,Nøytral,0.2439887,0.2222778,0.2670918,1414
5,AP,MDG,Liker,0.3797737,0.3547935,0.4054076,1414
6,AP,MDG,Misliker,0.4750403,0.4473352,0.5028998,1242
6,AP,MDG,Nøytral,0.2101449,0.1883531,0.233732,1242
6,AP,MDG,Liker,0.3148148,0.289541,0.3412351,1242
7,AP,MDG,Misliker,0.4970809,0.4687792,0.5254013,1199
7,AP,MDG,Nøytral,0.2185154,0.1959963,0.2428405,1199
7,AP,MDG,Liker,0.2844037,0.2595382,0.3106519,1199
9,AP,MDG,Misliker,0.5125581,0.4826215,0.5424049,1075
9,AP,MDG,Nøytral,0.1972093,0.1744653,0.2221206,1075
9,AP,MDG,Liker,0.2902326,0.2638267,0.3181392,1075
1,Høyre,KRF,Misliker,0.3626571,0.334883,0.3913792,1114
1,Høyre,KRF,Nøytral,0.2710952,0.2457557,0.298015,1114
1,Høyre,KRF,Liker,0.3662478,0.3384022,0.3950166,1114
2,Høyre,KRF,Misliker,0.4621118,0.4278333,0.4967523,805
2,Høyre,KRF,Nøytral,0.2496894,0.2209381,0.2808336,805
2,Høyre,KRF,Liker,0.2881988,0.2578846,0.3205372,805
3,Høyre,KRF,Misliker,0.4113337,0.390178,0.4328222,2047
3,Høyre,KRF,Nøytral,0.3023937,0.2828593,0.3226702,2047
3,Høyre,KRF,Liker,0.2862726,0.2670829,0.306265,2047
4,Høyre,KRF,Misliker,0.4410058,0.4164349,0.4658691,1551
4,Høyre,KRF,Nøytral,0.2611219,0.2398372,0.2835907,1551
4,Høyre,KRF,Liker,0.2978723,0.2756,0.3211466,1551
5,Høyre,KRF,Misliker,0.4410058,0.4164349,0.4658691,1311
5,Høyre,KRF,Nøytral,0.2611219,0.2398372,0.2835907,1311
5,Høyre,KRF,Liker,0.2978723,0.2756,0.3211466,1311
6,Høyre,KRF,Misliker,0.5313029,0.5027422,0.55966,1182
6,Høyre,KRF,Nøytral,0.2529611,0.2289564,0.2785733,1182
6,Høyre,KRF,Liker,0.215736,0.1931788,0.2401432,1182
7,Høyre,KRF,Misliker,0.5429072,0.5138592,0.5716662,1142
7,Høyre,KRF,Nøytral,0.2416813,0.2176924,0.26741,1142
7,Høyre,KRF,Liker,0.2154116,0.192492,0.2402482,1142
9,Høyre,KRF,Misliker,0.4888674,0.4584129,0.5194047,1033
9,Høyre,KRF,Nøytral,0.2565344,0.2307774,0.2841043,1033
9,Høyre,KRF,Liker,0.2545983,0.2289143,0.2821096,1033
1,Høyre,AP,Misliker,0.4082363,0.379715,0.4373894,1117
1,Høyre,AP,Nøytral,0.17547,0.1542358,0.19894,1117
1,Høyre,AP,Liker,0.4162936,0.3876607,0.4455028,1117
2,Høyre,AP,Misliker,0.4404467,0.4064383,0.4750233,806
2,Høyre,AP,Nøytral,0.174938,0.1501876,0.2027938,806
2,Høyre,AP,Liker,0.3846154,0.3515554,0.4187765,806
3,Høyre,AP,Misliker,0.3549172,0.3344892,0.3758882,2054
3,Høyre,AP,Nøytral,0.1757546,0.1598832,0.1928399,2054
3,Høyre,AP,Liker,0.4693281,0.4477985,0.4909725,2054
4,Høyre,AP,Misliker,0.3667752,0.3429904,0.3912273,1535
4,Høyre,AP,Nøytral,0.209772,0.1901083,0.2308898,1535
4,Høyre,AP,Liker,0.4234528,0.3989185,0.4483704,1535
5,Høyre,AP,Misliker,0.3575248,0.331967,0.3839195,1309
5,Høyre,AP,Nøytral,0.1925134,0.1720256,0.2148081,1309
5,Høyre,AP,Liker,0.4499618,0.4231491,0.4770683,1309
6,Høyre,AP,Misliker,0.4291737,0.4012226,0.4575839,1186
6,Høyre,AP,Nøytral,0.2133221,0.1909044,0.2375992,1186
6,Høyre,AP,Liker,0.3575042,0.330675,0.3852573,1186
7,Høyre,AP,Misliker,0.4198072,0.3914287,0.4487261,1141
7,Høyre,AP,Nøytral,0.1945662,0.172587,0.2186049,1141
7,Høyre,AP,Liker,0.3856266,0.3577553,0.4142688,1141
9,Høyre,AP,Misliker,0.4647343,0.4344669,0.4952637,1035
9,Høyre,AP,Nøytral,0.1690821,0.1474237,0.1932014,1035
9,Høyre,AP,Liker,0.3661836,0.3373129,0.3960485,1035
1,Høyre,Høyre,Misliker,0.0071048,0.0035532,0.0141559,1126
1,Høyre,Høyre,Nøytral,0.0222025,0.0150366,0.0326702,1126
1,Høyre,Høyre,Liker,0.9706927,0.9590405,0.9791023,1126
2,Høyre,Høyre,Misliker,0.0211706,0.0131871,0.0338218,803
2,Høyre,Høyre,Nøytral,0.0249066,0.0161085,0.038323,803
2,Høyre,Høyre,Liker,0.9539228,0.9370062,0.9664592,803
3,Høyre,Høyre,Misliker,0.0519922,0.0431884,0.0624735,2058
3,Høyre,Høyre,Nøytral,0.0359572,0.0287192,0.0449351,2058
3,Høyre,Høyre,Liker,0.9120505,0.8990089,0.9235512,2058
4,Høyre,Høyre,Misliker,0.0750323,0.0628988,0.0892835,1546
4,Høyre,Høyre,Nøytral,0.0407503,0.0319507,0.0518437,1546
4,Høyre,Høyre,Liker,0.8842173,0.867269,0.899253,1546
5,Høyre,Høyre,Misliker,0.0359053,0.0270709,0.047482,1309
5,Høyre,Høyre,Nøytral,0.0534759,0.0425063,0.0670782,1309
5,Høyre,Høyre,Liker,0.9106188,0.8938877,0.9249334,1309
6,Høyre,Høyre,Misliker,0.0457627,0.0351999,0.0593004,1180
6,Høyre,Høyre,Nøytral,0.0533898,0.0419092,0.0677929,1180
6,Høyre,Høyre,Liker,0.9008475,0.8824137,0.9166643,1180
7,Høyre,Høyre,Misliker,0.0666667,0.053549,0.0827168,1140
7,Høyre,Høyre,Nøytral,0.0552632,0.0433872,0.0701514,1140
7,Høyre,Høyre,Liker,0.8780702,0.8577352,0.8958515,1140
9,Høyre,Høyre,Misliker,0.0436469,0.0327277,0.0579908,1031
9,Høyre,Høyre,Nøytral,0.0475267,0.0360844,0.0623625,1031
9,Høyre,Høyre,Liker,0.9088264,0.8896316,0.9249645,1031
1,Høyre,FRP,Misliker,0.2939068,0.267867,0.3213669,1116
1,Høyre,FRP,Nøytral,0.1415771,0.1223024,0.1633241,1116
1,Høyre,FRP,Liker,0.5645161,0.5351918,0.593396,1116
2,Høyre,FRP,Misliker,0.2745342,0.2447414,0.306482,805
2,Høyre,FRP,Nøytral,0.157764,0.1341361,0.1846662,805
2,Høyre,FRP,Liker,0.5677019,0.5331364,0.6016204,805
3,Høyre,FRP,Misliker,0.3285994,0.3085418,0.3493022,2042
3,Høyre,FRP,Nøytral,0.1562194,0.1410986,0.172635,2042
3,Høyre,FRP,Liker,0.5151812,0.4934715,0.5368337,2042
4,Høyre,FRP,Misliker,0.3285994,0.3085418,0.3493022,1547
4,Høyre,FRP,Nøytral,0.1562194,0.1410986,0.172635,1547
4,Høyre,FRP,Liker,0.5151812,0.4934715,0.5368337,1547
5,Høyre,FRP,Misliker,0.3769113,0.3509985,0.4035477,1308
5,Høyre,FRP,Nøytral,0.1544343,0.1358257,0.1750757,1308
5,Høyre,FRP,Liker,0.4686544,0.4416942,0.4957989,1308
6,Høyre,FRP,Misliker,0.3769113,0.3509985,0.4035477,1178
6,Høyre,FRP,Nøytral,0.1544343,0.1358257,0.1750757,1178
6,Høyre,FRP,Liker,0.4686544,0.4416942,0.4957989,1178
7,Høyre,FRP,Misliker,0.3619632,0.3345283,0.3903283,1141
7,Høyre,FRP,Nøytral,0.1656442,0.1451535,0.18839,1141
7,Høyre,FRP,Liker,0.4723926,0.443507,0.5014643,1141
9,Høyre,FRP,Misliker,0.3355965,0.3073657,0.3650536,1031
9,Høyre,FRP,Nøytral,0.1600388,0.1388707,0.1837451,1031
9,Høyre,FRP,Liker,0.5043647,0.4738166,0.5348803,1031
1,Høyre,Venstre,Misliker,0.2229242,0.1993445,0.2484276,1108
1,Høyre,Venstre,Nøytral,0.2987365,0.2724622,0.3264077,1108
1,Høyre,Venstre,Liker,0.4783394,0.4489899,0.5078391,1108
2,Høyre,Venstre,Misliker,0.2736318,0.2438568,0.3055732,804
2,Høyre,Venstre,Nøytral,0.2835821,0.253422,0.3158132,804
2,Høyre,Venstre,Liker,0.4427861,0.4087057,0.4774138,804
3,Høyre,Venstre,Misliker,0.2794909,0.260437,0.2993747,2043
3,Høyre,Venstre,Nøytral,0.3357807,0.3156038,0.3565755,2043
3,Høyre,Venstre,Liker,0.3847283,0.3638421,0.4060483,2043
4,Høyre,Venstre,Misliker,0.2985751,0.2762363,0.321917,1544
4,Høyre,Venstre,Nøytral,0.3348446,0.3117043,0.3588071,1544
4,Høyre,Venstre,Liker,0.3665803,0.3428671,0.3909578,1544
5,Høyre,Venstre,Misliker,0.3210728,0.2962531,0.3469468,1305
5,Høyre,Venstre,Nøytral,0.2942529,0.2701165,0.3196016,1305
5,Høyre,Venstre,Liker,0.3846743,0.3586062,0.4114219,1305
6,Høyre,Venstre,Misliker,0.4842821,0.4557723,0.5128945,1177
6,Høyre,Venstre,Nøytral,0.2438403,0.2201181,0.2692364,1177
6,Høyre,Venstre,Liker,0.2718777,0.2471807,0.2980652,1177
7,Høyre,Venstre,Misliker,0.5039508,0.4748902,0.5329848,1139
7,Høyre,Venstre,Nøytral,0.2309043,0.207308,0.2563179,1139
7,Høyre,Venstre,Liker,0.2651449,0.2402771,0.2915985,1139
9,Høyre,Venstre,Misliker,0.5179786,0.4873684,0.5484545,1029
9,Høyre,Venstre,Nøytral,0.244898,0.2195429,0.2721601,1029
9,Høyre,Venstre,Liker,0.2371234,0.2120836,0.2641286,1029
1,Høyre,SP,Misliker,0.5497288,0.5202226,0.5788892,1106
1,Høyre,SP,Nøytral,0.2983725,0.2720858,0.3260613,1106
1,Høyre,SP,Liker,0.1518987,0.1319027,0.1743174,1106
2,Høyre,SP,Misliker,0.619403,0.5852461,0.6524175,804
2,Høyre,SP,Nøytral,0.2587065,0.2295452,0.290177,804
2,Høyre,SP,Liker,0.1218905,0.1009803,0.1464255,804
3,Høyre,SP,Misliker,0.5497793,0.528086,0.571285,2039
3,Høyre,SP,Nøytral,0.3070132,0.2873476,0.3274064,2039
3,Høyre,SP,Liker,0.1432075,0.1286533,0.1591075,2039
4,Høyre,SP,Misliker,0.6106771,0.5860067,0.6347935,1536
4,Høyre,SP,Nøytral,0.2884115,0.266271,0.3116111,1536
4,Høyre,SP,Liker,0.1009115,0.0867998,0.1170234,1536
5,Høyre,SP,Misliker,0.5245776,0.4973698,0.5516402,1302
5,Høyre,SP,Nøytral,0.3003072,0.2759805,0.3258132,1302
5,Høyre,SP,Liker,0.1751152,0.1553942,0.1967559,1302
6,Høyre,SP,Misliker,0.5346284,0.5060936,0.5629383,1184
6,Høyre,SP,Nøytral,0.3369932,0.3105817,0.3644634,1184
6,Høyre,SP,Liker,0.1283784,0.1104749,0.1486983,1184
7,Høyre,SP,Misliker,0.5549692,0.525885,0.5836817,1137
7,Høyre,SP,Nøytral,0.2919965,0.2662489,0.319151,1137
7,Høyre,SP,Liker,0.1530343,0.1332305,0.1751868,1137
9,Høyre,SP,Misliker,0.5091787,0.4786759,0.5396134,1035
9,Høyre,SP,Nøytral,0.2483092,0.222891,0.275598,1035
9,Høyre,SP,Liker,0.2425121,0.2173233,0.2696147,1035
1,Høyre,SV,Misliker,0.7368421,0.7099892,0.762042,1102
1,Høyre,SV,Nøytral,0.185118,0.163242,0.2091926,1102
1,Høyre,SV,Liker,0.0780399,0.0635818,0.0954506,1102
2,Høyre,SV,Misliker,0.7962733,0.7669709,0.8227426,805
2,Høyre,SV,Nøytral,0.1391304,0.1168545,0.1648602,805
2,Høyre,SV,Liker,0.0645963,0.0495268,0.0838465,805
3,Høyre,SV,Misliker,0.7454723,0.7261105,0.7639105,2043
3,Høyre,SV,Nøytral,0.1913852,0.1748908,0.2090412,2043
3,Høyre,SV,Liker,0.0631424,0.0533744,0.0745574,2043
4,Høyre,SV,Misliker,0.7626132,0.7407316,0.7831886,1546
4,Høyre,SV,Nøytral,0.1862872,0.1676337,0.2065014,1546
4,Høyre,SV,Liker,0.0510996,0.0411642,0.0632748,1546
5,Høyre,SV,Misliker,0.764526,0.7407294,0.7867672,1308
5,Høyre,SV,Nøytral,0.1735474,0.1539468,0.1950681,1308
5,Høyre,SV,Liker,0.0619266,0.0500675,0.0763689,1308
6,Høyre,SV,Misliker,0.8086367,0.7851581,0.8301047,1181
6,Høyre,SV,Nøytral,0.1532599,0.1337957,0.1749838,1181
6,Høyre,SV,Liker,0.0381033,0.0285553,0.0506774,1181
7,Høyre,SV,Misliker,0.7949167,0.7704578,0.8173872,1141
7,Høyre,SV,Nøytral,0.1595092,0.1393629,0.1819522,1141
7,Høyre,SV,Liker,0.0455741,0.0348779,0.0593487,1141
9,Høyre,SV,Misliker,0.8135922,0.7885895,0.836252,1030
9,Høyre,SV,Nøytral,0.1300971,0.1108648,0.152095,1030
9,Høyre,SV,Liker,0.0563107,0.0437605,0.0721884,1030
1,Høyre,MDG,Misliker,0.3808664,0.352672,0.4098877,1108
1,Høyre,MDG,Nøytral,0.3862816,0.3579923,0.41536,1108
1,Høyre,MDG,Liker,0.232852,0.2088605,0.2586981,1108
2,Høyre,MDG,Misliker,0.3833747,0.3503409,0.4175214,806
2,Høyre,MDG,Nøytral,0.3771712,0.344272,0.4112426,806
2,Høyre,MDG,Liker,0.2394541,0.2111858,0.27021,806
3,Høyre,MDG,Misliker,0.3724816,0.3517107,0.3937341,2035
3,Høyre,MDG,Nøytral,0.3916462,0.3706375,0.4130642,2035
3,Høyre,MDG,Liker,0.2358722,0.2179129,0.2548294,2035
4,Høyre,MDG,Misliker,0.4063719,0.3820511,0.4311607,1538
4,Høyre,MDG,Nøytral,0.4206762,0.3961945,0.4455544,1538
4,Høyre,MDG,Liker,0.1729519,0.1548393,0.1927001,1538
5,Høyre,MDG,Misliker,0.6470138,0.6206491,0.672513,1306
5,Høyre,MDG,Nøytral,0.1906585,0.1702322,0.2129069,1306
5,Høyre,MDG,Liker,0.1623277,0.1432838,0.183361,1306
6,Høyre,MDG,Misliker,0.7331081,0.7071312,0.7575709,1184
6,Høyre,MDG,Nøytral,0.1537162,0.134249,0.1754344,1184
6,Høyre,MDG,Liker,0.1131757,0.0963234,0.1325439,1184
7,Høyre,MDG,Misliker,0.762489,0.7368814,0.7863271,1141
7,Høyre,MDG,Nøytral,0.1419807,0.1228809,0.1634959,1141
7,Høyre,MDG,Liker,0.0955302,0.079761,0.1140308,1141
9,Høyre,MDG,Misliker,0.7655039,0.738629,0.7903996,1032
9,Høyre,MDG,Nøytral,0.1337209,0.1142538,0.1559211,1032
9,Høyre,MDG,Liker,0.1007752,0.0838116,0.1207199,1032
1,KRF,KRF,Misliker,0.004878,0.0006755,0.0343303,205
1,KRF,KRF,Nøytral,0.0243902,0.010113,0.05765,205
1,KRF,KRF,Liker,0.9707317,0.9359905,0.9868814,205
2,KRF,KRF,Misliker,0.0124224,0.0030628,0.0489787,161
2,KRF,KRF,Nøytral,0.0807453,0.0471855,0.1347973,161
2,KRF,KRF,Liker,0.9068323,0.8504855,0.9433582,161
3,KRF,KRF,Misliker,0.0152672,0.0068507,0.033673,393
3,KRF,KRF,Nøytral,0.0458015,0.0289854,0.0716537,393
3,KRF,KRF,Liker,0.9389313,0.9103613,0.9588074,393
4,KRF,KRF,Misliker,0.0274914,0.0137504,0.0542094,291
4,KRF,KRF,Nøytral,0.0446735,0.0260301,0.0756329,291
4,KRF,KRF,Liker,0.9278351,0.8916059,0.9525989,291
5,KRF,KRF,Misliker,0.0222222,0.0099661,0.0488076,270
5,KRF,KRF,Nøytral,0.0555556,0.0336579,0.0903675,270
5,KRF,KRF,Liker,0.9222222,0.8833679,0.9488818,270
6,KRF,KRF,Misliker,0.047619,0.0264472,0.0842726,231
6,KRF,KRF,Nøytral,0.025974,0.0116452,0.0569185,231
6,KRF,KRF,Liker,0.9264069,0.8844426,0.9539259,231
7,KRF,KRF,Misliker,0.0368664,0.0184403,0.0723471,217
7,KRF,KRF,Nøytral,0.0599078,0.0349493,0.1008279,217
7,KRF,KRF,Liker,0.9032258,0.8556946,0.9362673,217
9,KRF,KRF,Misliker,0.0521327,0.0289621,0.0920826,211
9,KRF,KRF,Nøytral,0.0616114,0.035948,0.1036264,211
9,KRF,KRF,Liker,0.8862559,0.8354286,0.9228353,211
1,KRF,AP,Misliker,0.4126214,0.3468648,0.4816509,206
1,KRF,AP,Nøytral,0.131068,0.0911571,0.1848978,206
1,KRF,AP,Liker,0.4563107,0.3889645,0.5252931,206
2,KRF,AP,Misliker,0.4444444,0.3690356,0.5225021,162
2,KRF,AP,Nøytral,0.191358,0.1374231,0.2600785,162
2,KRF,AP,Liker,0.3641975,0.2930487,0.4418247,162
3,KRF,AP,Misliker,0.3417722,0.2964562,0.3901734,395
3,KRF,AP,Nøytral,0.1873418,0.1517142,0.2290765,395
3,KRF,AP,Liker,0.4708861,0.4218909,0.5204488,395
