Uke,År,Lokalitetsnummer,Lokalitetsnavn,Voksne hunnlus,Lus i bevegelige stadier,Fastsittende lus,Kommune,Lat,Lon,Sjøtemperatur
34,2017,24535,STORHOLMEN,0.01,0.02,0.02,ALTA,70.34161,23.39247,8.6
34,2017,10311,STORLIA,0,2.55,0,HYLLESTAD,61.20172,5.170933,15.7
34,2017,11290,STORMNESET,,,,TYSFJORD,68.19825,16.13412,
34,2017,20776,STOROKSEN,0.03,0.2,0.04,ASKØY,60.53088,4.97325,14.6
34,2017,11301,STORØY NV,,,,LØDINGEN,68.42757,15.85118,
34,2017,11298,STORØYA NØ,,,,LØDINGEN,68.42792,15.86515,
34,2017,31338,STORSKJERET,0.23,0.34,0.02,AURE,63.26985,8.228283,14.7
34,2017,19016,STORSKOGØYA,0.03,0.38,0.09,SNILLFJORD,63.50607,9.19075,14.1
34,2017,13566,STORSKREBUKTI,0.02,0.11,0,LINDÅS,60.65373,5.4192,15.3
34,2017,13124,STORSTROMPAN,0,0,0.01,RØDØY,66.54563,13.41908,13.13
34,2017,13316,STORVIK,,,,LOPPA,70.14951,22.41657,
34,2017,22335,STORVIKA,,,,FRÆNA,62.80217,6.981267,
34,2017,15461,STORVIKA,0.09,0.16,0,NORDKAPP,70.87123,25.44632,8.2
34,2017,13125,STORVIKA,0.27,0.33,0.01,MELØY,66.80855,13.24233,13.4
34,2017,32397,STORVIKA I SKJERSTADFJORDEN,,,,BODØ,67.20264,15.275,12.3
34,2017,10552,STORVIKA III,0,0.01,0,SALANGEN,68.89622,17.48732,10.53
34,2017,23055,STORVIKA V,,,,DYRØY,69.0433,17.36323,
34,2017,10421,STORVIKBUKTA,,,,NÆRØY,64.92893,11.91292,
34,2017,11858,STØYTLAND,,,,FLEKKEFJORD,58.2316,6.628533,
34,2017,10753,STRANDMO,,,,KARLSØY,69.8813,19.43453,
34,2017,12081,STRAUMNESET,,,,JONDAL,60.22097,6.139567,
34,2017,22435,STRETARNESET,,,,HADSEL,68.67398,14.98248,
34,2017,26235,STUALAND,0.02,0.22,0,SVEIO,59.6088,5.5269,15.7
34,2017,11552,STUHOLMEN,0.2,0.4,0.7,SUND,60.24968,4.978117,15.5
34,2017,11206,STYRVOLLHOLMEN,,,,VESTVÅGØY,68.08102,13.62913,
34,2017,36100,SUHOLMEN,0.31,1.41,0.04,SMØLA,63.49493,8.02235,14.3
34,2017,19396,SUNDE,,,,KVINNHERAD,59.83303,5.709017,
34,2017,29376,SUNDSØY,0,0.18,0.04,DØNNA,66.17637,12.77028,13.6
34,2017,10798,SVARTBERGET,,,,KVÆNANGEN,70.0186,22.01832,
34,2017,11312,SVARTFJELL,0.02,0.13,0,STEIGEN,67.93948,15.50317,13.4
34,2017,31817,SVARTSKJÆR,0.01,0.11,0.07,IBESTAD,68.71893,16.7745,11
34,2017,12074,SVÅSANDNESET,,,,JONDAL,60.32422,6.318983,
34,2017,11776,SVEHOLMANE,,,,FLORA,61.55772,5.215333,
34,2017,13727,SVELLUNGEN,,,,HITRA,63.65528,9.156795,
34,2017,11813,SVINØY V,0.37,3.82,0.12,FJALER,61.30312,5.101167,15.2
34,2017,11144,SVINVÆR,0.21,0.33,0.16,RØDØY,66.76923,13.17063,13.6
34,2017,22955,SVOLLANDSNESET,0.2,0.26,0.01,VINDAFJORD,59.685,5.589917,14
34,2017,13196,SYLTØY,0,0,0.03,SUND,60.3046,4.96645,15.6
34,2017,10309,SYRTANGEN,,,,ØYGARDEN,60.46773,4.968667,
34,2017,20577,TANDRANESET,,,,SULDAL,59.32653,6.067967,
34,2017,10582,TARMEVIKODDEN,0.06,0.19,0.03,FLEKKEFJORD,58.21977,6.685633,15.94
34,2017,16165,TÅRNVIKA,,,,BODØ,67.57281,15.12868,
34,2017,26575,TEIGANE,,,,SULDAL,59.52033,6.337233,
34,2017,13057,TEIGLAND I,0.04,0.15,0.03,KVAM,60.17935,5.959917,15.5
34,2017,11832,TEISTHALSEN,,,,FLORA,61.61243,4.81315,
34,2017,29776,TEKSMONA,,,,MELØY,66.86842,13.60138,
34,2017,21755,TENDALSVIK,0.01,0.05,0,ETNE,59.73605,5.884,13.7
34,2017,12449,TENNØYA,0.04,0.4,0.04,FRØYA,63.80503,8.4444,13.94
34,2017,13644,TEPSTAD,,,,OSTERØY,60.55303,5.385317,
34,2017,12268,TERNINGEN,0.26,0.46,0.02,MIDSUND,62.6431,6.54805,14.9
34,2017,12662,TERNSKJÆRET II,,,,NÆRØY,64.77713,11.63977,
